combination,train_accuracy,val_accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
259,0.7609583952451708,0.7529341851136533,0.3,0.1,5,10,10
260,0.7860698365527489,0.7731392066557718,0.3,0.1,5,10,50
261,0.799479940564636,0.7775961967018273,0.3,0.1,5,10,100
262,0.7358841010401189,0.7319863318971921,0.3,0.1,5,100,10
263,0.7658618127786033,0.7579854404991829,0.3,0.1,5,100,50
264,0.7778603268945022,0.7694250482840588,0.3,0.1,5,100,100
265,0.8075408618127786,0.770910711632744,0.3,0.1,8,1,10
266,0.8491827637444279,0.7767047986926162,0.3,0.1,8,1,50
267,0.8923848439821694,0.7756648343485366,0.3,0.1,8,1,100
268,0.7889673105497771,0.7679393849353736,0.3,0.1,8,10,10
269,0.8086924219910847,0.774030604664983,0.3,0.1,8,10,50
270,0.8306835066864785,0.7768533650274848,0.3,0.1,8,10,100
271,0.7464338781575037,0.739414648640618,0.3,0.1,8,100,10
272,0.7709881129271917,0.762888129549844,0.3,0.1,8,100,50
273,0.7823551263001486,0.7716535433070866,0.3,0.1,8,100,100
274,0.8446508172362556,0.7691279156143218,0.3,0.1,10,1,10
275,0.9047176820208024,0.775219135343931,0.3,0.1,10,1,50
276,0.950817236255572,0.7759619670182737,0.3,0.1,10,1,100
277,0.7968053491827637,0.7666022879215569,0.3,0.1,10,10,10
278,0.8225482912332838,0.7759619670182737,0.3,0.1,10,10,50
279,0.8511515601783061,0.7768533650274848,0.3,0.1,10,10,100
280,0.749665676077266,0.7417917099985143,0.3,0.1,10,100,10
281,0.77537147102526,0.7646709255682662,0.3,0.1,10,100,50
282,0.7846582466567608,0.770910711632744,0.3,0.1,10,100,100
283,0.7806092124814265,0.7683850839399792,0.3,1.0,3,1,10
284,0.8180163447251114,0.7683850839399792,0.3,1.0,3,1,50
285,0.8446879643387816,0.7679393849353736,0.3,1.0,3,1,100
286,0.7781946508172363,0.76630515525182,0.3,1.0,3,10,10
287,0.8049777117384844,0.7775961967018273,0.3,1.0,3,10,50
288,0.8179791976225854,0.7761105333531422,0.3,1.0,3,10,100
289,0.7638930163447251,0.7566483434853662,0.3,1.0,3,100,10
290,0.7729569093610699,0.7642252265636607,0.3,1.0,3,100,50
291,0.7729569093610699,0.7642252265636607,0.3,1.0,3,100,100
292,0.8077265973254086,0.7747734363393255,0.3,1.0,5,1,10
293,0.9013001485884101,0.7701678799584014,0.3,1.0,5,1,50
294,0.9588038632986627,0.76630515525182,0.3,1.0,5,1,100
295,0.799108469539376,0.774624870004457,0.3,1.0,5,10,10
296,0.850334323922734,0.7737334719952459,0.3,1.0,5,10,50
297,0.8812035661218425,0.7726935076511663,0.3,1.0,5,10,100
298,0.7762258543833581,0.7654137572426088,0.3,1.0,5,100,10
299,0.7788261515601783,0.7683850839399792,0.3,1.0,5,100,50
